Datetime,long,cash
2016-03-07 00:00:00+00:00,0.0,8712093.760690017
2016-03-08 00:00:00+00:00,0.0,8407494.852070017
2016-03-09 00:00:00+00:00,0.0,8487085.350550016
2016-03-10 00:00:00+00:00,0.0,8332907.901250022
2016-03-11 00:00:00+00:00,0.0,8319679.4564500265
2016-03-14 00:00:00+00:00,0.0,8115384.354130028
2016-03-15 00:00:00+00:00,0.0,8064071.656810028
2016-03-16 00:00:00+00:00,0.0,8208547.253650031
2016-03-17 00:00:00+00:00,0.0,8157124.106650031
2016-03-18 00:00:00+00:00,0.0,8126445.102010035
2016-03-21 00:00:00+00:00,0.0,8093251.049530037
2016-03-22 00:00:00+00:00,0.0,8093205.645850036
2016-03-23 00:00:00+00:00,0.0,8093205.645850036
2016-03-24 00:00:00+00:00,0.0,8117235.645370036
2016-03-25 00:00:00+00:00,0.0,8089887.925690033
2016-03-28 00:00:00+00:00,0.0,8213782.654810028
2016-03-29 00:00:00+00:00,0.0,8364323.77753003
2016-03-30 00:00:00+00:00,0.0,8380618.0811800305
2016-03-31 00:00:00+00:00,0.0,8342674.613980029
2016-04-01 00:00:00+00:00,0.0,8202894.841630029
2016-04-05 00:00:00+00:00,0.0,8347795.306750031
2016-04-06 00:00:00+00:00,0.0,8331428.68867003
2016-04-07 00:00:00+00:00,0.0,8414950.646590026
2016-04-08 00:00:00+00:00,0.0,8408352.884710023
2016-04-11 00:00:00+00:00,0.0,8439452.96521002
2016-04-12 00:00:00+00:00,0.0,8439452.96521002
2016-04-13 00:00:00+00:00,0.0,8299228.1090500215
2016-04-14 00:00:00+00:00,0.0,8355313.327930024
2016-04-15 00:00:00+00:00,0.0,8307235.753690023
2016-04-18 00:00:00+00:00,0.0,8307235.753690023
2016-04-19 00:00:00+00:00,0.0,8274075.527770022
2016-04-20 00:00:00+00:00,0.0,8377778.572090023
2016-04-21 00:00:00+00:00,0.0,8364002.265430026
2016-04-22 00:00:00+00:00,0.0,8349578.632630025
2016-04-25 00:00:00+00:00,0.0,8308775.645560027
2016-04-26 00:00:00+00:00,0.0,8267963.505400031
2016-04-27 00:00:00+00:00,0.0,8250210.26572003
2016-04-28 00:00:00+00:00,0.0,8257903.683160031
2016-04-29 00:00:00+00:00,0.0,8212805.446840031
2016-05-03 00:00:00+00:00,0.0,8209406.700280032
2016-05-04 00:00:00+00:00,0.0,8212741.356280034
2016-05-05 00:00:00+00:00,0.0,8212741.356280034
2016-05-06 00:00:00+00:00,0.0,8001560.462200038
2016-05-09 00:00:00+00:00,0.0,8150022.94828004
2016-05-10 00:00:00+00:00,0.0,8150022.94828004
2016-05-11 00:00:00+00:00,0.0,8110890.94408004
2016-05-12 00:00:00+00:00,0.0,8110890.94408004
2016-05-13 00:00:00+00:00,0.0,8110890.94408004
2016-05-16 00:00:00+00:00,0.0,8144675.22751004
2016-05-17 00:00:00+00:00,0.0,8121343.827580039
2016-05-18 00:00:00+00:00,0.0,8054166.315970037
2016-05-19 00:00:00+00:00,0.0,8017812.672610036
2016-05-20 00:00:00+00:00,0.0,8018877.8103700355
2016-05-23 00:00:00+00:00,0.0,8010335.507170037
2016-05-24 00:00:00+00:00,0.0,7996057.006210039
2016-05-25 00:00:00+00:00,0.0,7988487.75229004
2016-05-26 00:00:00+00:00,0.0,7957399.039330045
2016-05-27 00:00:00+00:00,0.0,7946460.191650048
2016-05-30 00:00:00+00:00,0.0,7943658.56845005
2016-05-31 00:00:00+00:00,0.0,8320402.59949005
2016-06-01 00:00:00+00:00,0.0,8241648.83197005
2016-06-02 00:00:00+00:00,0.0,8235859.6350100525
2016-06-03 00:00:00+00:00,0.0,8263638.466210054
2016-06-06 00:00:00+00:00,0.0,8266000.956130052
2016-06-07 00:00:00+00:00,0.0,8266000.956130052
2016-06-08 00:00:00+00:00,0.0,8215092.796930054
2016-06-13 00:00:00+00:00,0.0,8411018.018530054
2016-06-14 00:00:00+00:00,0.0,8314182.924700054
2016-06-15 00:00:00+00:00,0.0,8246901.367990053
2016-06-16 00:00:00+00:00,0.0,8271956.661250054
2016-06-17 00:00:00+00:00,0.0,8271996.62944005
2016-06-20 00:00:00+00:00,0.0,8211341.424700052
2016-06-21 00:00:00+00:00,0.0,8246410.2871000515
2016-06-22 00:00:00+00:00,0.0,8270413.326940054
2016-06-23 00:00:00+00:00,0.0,8255071.866940053
2016-06-24 00:00:00+00:00,0.0,7998700.6552600525
2016-06-27 00:00:00+00:00,0.0,8016006.327100053
2016-06-28 00:00:00+00:00,0.0,8081778.276220055
2016-06-29 00:00:00+00:00,0.0,8167667.942140057
2016-06-30 00:00:00+00:00,0.0,8183952.231580058
2016-07-01 00:00:00+00:00,0.0,8188703.537980058
2016-07-04 00:00:00+00:00,0.0,8270190.083740059
2016-07-05 00:00:00+00:00,0.0,8231659.716220059
2016-07-06 00:00:00+00:00,0.0,8240653.113340061
2016-07-07 00:00:00+00:00,0.0,8215082.7127000615
2016-07-08 00:00:00+00:00,0.0,8215082.7127000615
2016-07-11 00:00:00+00:00,0.0,8146308.138940062
2016-07-12 00:00:00+00:00,0.0,7890019.509280065
2016-07-13 00:00:00+00:00,0.0,7848855.122980061
2016-07-14 00:00:00+00:00,0.0,7862596.304980063
2016-07-15 00:00:00+00:00,0.0,7834031.8358800635
2016-07-18 00:00:00+00:00,0.0,7845989.453680063
2016-07-19 00:00:00+00:00,0.0,7844924.198830062
2016-07-20 00:00:00+00:00,0.0,7857375.359080061
2016-07-21 00:00:00+00:00,0.0,7819403.935630061
2016-07-22 00:00:00+00:00,0.0,7852569.52378006
2016-07-25 00:00:00+00:00,0.0,7875834.5116300555
2016-07-26 00:00:00+00:00,0.0,7946746.052080055
2016-07-27 00:00:00+00:00,0.0,8055505.099030055
2016-07-28 00:00:00+00:00,0.0,8048147.296180058
2016-07-29 00:00:00+00:00,0.0,8048147.296180058
2016-08-01 00:00:00+00:00,0.0,8010097.2709000595
2016-08-02 00:00:00+00:00,0.0,7994227.897600058
2016-08-03 00:00:00+00:00,0.0,7959462.685000057
2016-08-04 00:00:00+00:00,0.0,7899052.119550058
2016-08-05 00:00:00+00:00,0.0,7901175.666850056
2016-08-08 00:00:00+00:00,0.0,7911831.029200055
2016-08-09 00:00:00+00:00,0.0,7920206.863000056
2016-08-10 00:00:00+00:00,0.0,7920206.863000056
2016-08-11 00:00:00+00:00,0.0,7828220.121550055
2016-08-12 00:00:00+00:00,0.0,7608131.653630057
2016-08-15 00:00:00+00:00,0.0,7678317.245050057
2016-08-16 00:00:00+00:00,0.0,7759463.060710056
2016-08-17 00:00:00+00:00,0.0,7767126.950230058
2016-08-18 00:00:00+00:00,0.0,7671907.252090058
2016-08-19 00:00:00+00:00,0.0,7594321.13971006
2016-08-22 00:00:00+00:00,0.0,7533553.207450059
2016-08-23 00:00:00+00:00,0.0,7534523.217610059
2016-08-24 00:00:00+00:00,0.0,7533411.35959006
2016-08-25 00:00:00+00:00,0.0,7467222.637270059
2016-08-26 00:00:00+00:00,0.0,7409855.8952500615
2016-08-29 00:00:00+00:00,0.0,7439437.335250064
2016-08-30 00:00:00+00:00,0.0,7448417.899990064
2016-08-31 00:00:00+00:00,0.0,7473341.675650062
2016-09-01 00:00:00+00:00,0.0,7510891.64923006
2016-09-02 00:00:00+00:00,0.0,7455190.166050065
2016-09-05 00:00:00+00:00,0.0,7389820.365610066
2016-09-06 00:00:00+00:00,0.0,7315624.469710068
2016-09-07 00:00:00+00:00,0.0,7291565.839270069
2016-09-08 00:00:00+00:00,0.0,7279599.065620069
2016-09-09 00:00:00+00:00,0.0,7293384.99349007
2016-09-12 00:00:00+00:00,0.0,7331807.95417007
2016-09-13 00:00:00+00:00,0.0,7319005.20379007
2016-09-14 00:00:00+00:00,0.0,7355796.804370067
2016-09-19 00:00:00+00:00,0.0,7351819.666450066
2016-09-20 00:00:00+00:00,0.0,7334821.919950066
2016-09-21 00:00:00+00:00,0.0,7336717.189270065
2016-09-22 00:00:00+00:00,0.0,7312127.274970063
2016-09-23 00:00:00+00:00,0.0,7320304.972750061
2016-09-26 00:00:00+00:00,0.0,7401184.585270061
2016-09-27 00:00:00+00:00,0.0,7344297.783550059
2016-09-28 00:00:00+00:00,0.0,7330678.487650059
2016-09-29 00:00:00+00:00,0.0,7301498.606290061
2016-09-30 00:00:00+00:00,0.0,7281557.082730063
2016-10-10 00:00:00+00:00,0.0,7305250.814050061
2016-10-11 00:00:00+00:00,0.0,7280636.344030062
2016-10-12 00:00:00+00:00,0.0,7278853.48750006
2016-10-13 00:00:00+00:00,0.0,7274835.70030006
2016-10-14 00:00:00+00:00,0.0,7319836.356910057
